t,input_gyro,input_ypr,ouput_ypr,ouput_rate,va,vc,va,vc
69155,0,0.92,-2.75,-2.64,1110,1105,11.1,11.05
69206,0,0.92,-2.77,-2.66,1113,1108,11.13,11.08
69260,0,0.92,-2.76,-2.65,1115,1110,11.15,11.1
69309,0,0.91,-2.74,-2.63,1117,1112,11.17,11.12
69362,0,0.92,-2.75,-2.63,1120,1115,11.2,11.15
69412,0,0.91,-2.74,-2.63,1122,1117,11.22,11.17
69465,0,0.92,-2.76,-2.65,1125,1120,11.25,11.2
69514,0,0.92,-2.76,-2.65,1127,1122,11.27,11.22
69567,0,0.92,-2.76,-2.65,1129,1124,11.29,11.24
69620,0,0.92,-2.77,-2.66,1132,1127,11.32,11.27
69670,0,0.92,-2.77,-2.66,1134,1129,11.34,11.29
69723,0,0.92,-2.77,-2.66,1137,1132,11.37,11.32
69772,0,0.92,-2.77,-2.66,1139,1134,11.39,11.34
69852,0,0.92,-2.77,-2.66,1141,1136,11.41,11.36
69878,0,0.92,-2.77,-2.66,1144,1139,11.44,11.39
69928,0,0.92,-2.77,-2.66,1146,1141,11.46,11.41
69981,0,0.92,-2.77,-2.66,1149,1144,11.49,11.44
70030,0,0.92,-2.77,-2.66,1151,1146,11.51,11.46
70083,0,0.92,-2.77,-2.66,1154,1149,11.54,11.49
70132,0,0.92,-2.77,-2.66,1156,1151,11.56,11.51
70189,0,0.92,-2.77,-2.66,1159,1154,11.59,11.54
70239,0,0.92,-2.77,-2.66,1161,1156,11.61,11.56
70292,0,0.92,-2.76,-2.65,1163,1158,11.63,11.58
70341,0,0.93,-2.77,-2.66,1166,1161,11.66,11.61
70394,0,0.92,-2.76,-2.65,1168,1163,11.68,11.63
70443,0,0.92,-2.77,-2.65,1171,1166,11.71,11.66
70497,0,0.92,-2.76,-2.65,1173,1168,11.73,11.68
70550,0,0.92,-2.75,-2.64,1175,1170,11.75,11.7
70603,0,0.91,-2.73,-2.62,1178,1173,11.78,11.73
70658,0,0.91,-2.74,-2.63,1180,1175,11.8,11.75
70710,0,0.91,-2.74,-2.63,1183,1178,11.83,11.78
70764,0,0.91,-2.74,-2.63,1185,1180,11.85,11.8
70812,0,0.91,-2.73,-2.62,1188,1183,11.88,11.83
70862,0,0.91,-2.73,-2.62,1190,1185,11.9,11.85
70912,0,0.92,-2.76,-2.65,1192,1187,11.92,11.87
70983,0,0.92,-2.75,-2.64,1195,1190,11.95,11.9
71017,0,0.92,-2.75,-2.64,1197,1192,11.97,11.92
